OSARCH        QBITTORRENT        LIBTORRENT        FILENAME                                          MD5                                     
amd64         4.3.0              1.2.11            qbittorrent-nox.qbit4.3.0_lt1.2.11.amd64          319a4f72ab4cd7067425be0529c88a96        
arm64         4.3.0              1.2.11            qbittorrent-nox.qbit4.3.0_lt1.2.11.arm64          f3180c8ef9d88c0c039d11cb38a00ff4        
armhf         4.3.0              1.2.11            qbittorrent-nox.qbit4.3.0_lt1.2.11.armhf          182bb36e3c8e1a699abf89cec37e0a07        
amd64         4.3.1              1.2.11            qbittorrent-nox.qbit4.3.1_lt1.2.11.amd64          aa898c3e14f9f95e22f02602fced519e        
arm64         4.3.1              1.2.11            qbittorrent-nox.qbit4.3.1_lt1.2.11.arm64          f08d3b622f776bfabc083d6dd1191516        
armhf         4.3.1              1.2.11            qbittorrent-nox.qbit4.3.1_lt1.2.11.armhf          4688ff011824538799361654d2d7c933        
amd64         4.3.2              1.2.11            qbittorrent-nox.qbit4.3.2_lt1.2.11.amd64          b0b591696cad9af79f4a21d37ec42003        
arm64         4.3.2              1.2.11            qbittorrent-nox.qbit4.3.2_lt1.2.11.arm64          d4acb0bb9a112574e5e87e868a728e24        
armhf         4.3.2              1.2.11            qbittorrent-nox.qbit4.3.2_lt1.2.11.armhf          f14fa045331afdc55609abf33f7ce67b        
amd64         4.3.2              1.2.12            qbittorrent-nox.qbit4.3.2_lt1.2.12.amd64          17ed0f0687651718c97eb13fb823425f        
arm64         4.3.2              1.2.12            qbittorrent-nox.qbit4.3.2_lt1.2.12.arm64          7ac1e5524fb2822d781da8b8d97239d8        
armhf         4.3.2              1.2.12            qbittorrent-nox.qbit4.3.2_lt1.2.12.armhf          5f4297004423faac0ff32eb91468e8f7        
amd64         4.3.3              1.2.12            qbittorrent-nox.qbit4.3.3_lt1.2.12.amd64          946119ad2e354e96a500f93c48f7a19b        
arm64         4.3.3              1.2.12            qbittorrent-nox.qbit4.3.3_lt1.2.12.arm64          1a1c6cb5a9dd1e0ee1526f27eff866f8        
armhf         4.3.3              1.2.12            qbittorrent-nox.qbit4.3.3_lt1.2.12.armhf          a35c5f3499b59b3b9e341509e3c07171        
amd64         4.3.4.1            1.2.12            qbittorrent-nox.qbit4.3.4.1_lt1.2.12.amd64        894c4e31dbb2308d2abf6d86c7ffad01        
arm64         4.3.4.1            1.2.12            qbittorrent-nox.qbit4.3.4.1_lt1.2.12.arm64        618f5538b283b5566fc8c2944535fc43        
armhf         4.3.4.1            1.2.12            qbittorrent-nox.qbit4.3.4.1_lt1.2.12.armhf        951c979bc8000dac6347bd8d5312382f        
amd64         4.3.5              1.2.13            qbittorrent-nox.qbit4.3.5_lt1.2.13.amd64          a64adefd12bcc9e4aefdd8986efba833        
arm64         4.3.5              1.2.13            qbittorrent-nox.qbit4.3.5_lt1.2.13.arm64          ab66b4dd203d5847710a22d1b90a711b        
armhf         4.3.5              1.2.13            qbittorrent-nox.qbit4.3.5_lt1.2.13.armhf          0b9b57e93f1c02b14eb3538689837b57        
amd64         4.3.6              1.2.14            qbittorrent-nox.qbit4.3.6_lt1.2.14.amd64          7090dc7f31a704cffb600520fd50d3af        
arm64         4.3.6              1.2.14            qbittorrent-nox.qbit4.3.6_lt1.2.14.arm64          e8492ea9df643a322b4c6c1c4593d2a9        
armhf         4.3.6              1.2.14            qbittorrent-nox.qbit4.3.6_lt1.2.14.armhf          e0e3567657618f8c64cfae8004c53a72        
amd64         4.3.7              1.2.14            qbittorrent-nox.qbit4.3.7_lt1.2.14.amd64          15610b9410aa67a48419d2e44057c57b        
arm64         4.3.7              1.2.14            qbittorrent-nox.qbit4.3.7_lt1.2.14.arm64          52e13137feaf9e725e7c37e8eac67fa3        
armhf         4.3.7              1.2.14            qbittorrent-nox.qbit4.3.7_lt1.2.14.armhf          c2bb3badc2c0f31051e7b7d45d6a91fc        
